mini_batch_train_loss,mini_batch_train_loss_mse
113473.266,0.4925055
15357.613,0.06665631
15310.794,0.0664531
17024.191,0.073889725
21170.723,0.09188682
23065.043,0.1001087
15206.055,0.0659985
18250.01,0.07921012
22638.852,0.098258905
14466.92,0.06279045
15995.371,0.06942435
15783.939,0.06850668
16830.35,0.07304839
17171.69,0.0745299
16034.891,0.06959588
13357.42,0.057974916
14599.311,0.063365065
12428.519,0.053943224
12003.356,0.0520979
15851.266,0.0687989
12390.096,0.053776458
11837.919,0.05137986
15574.098,0.067595914
15028.848,0.06522938
14308.023,0.062100798
11390.861,0.049439505
12019.521,0.052168064
11296.251,0.04902887
9978.298,0.043308586
12613.717,0.054747038
15773.858,0.06846293
14086.11,0.06113763
14096.051,0.061180778
12150.801,0.05273785
12670.521,0.054993585
12822.575,0.05565354
9863.348,0.04280967
16403.727,0.071196735
12343.685,0.05357502
12563.384,0.054528575
10862.074,0.04714442
11803.818,0.05123185
13246.161,0.05749202
13301.685,0.057733007
9324.832,0.040472362
12112.662,0.05257232
15143.338,0.065726295
12077.902,0.05242145
12456.929,0.05406653
11320.234,0.04913296
11746.713,0.050984
13979.23,0.060673743
11748.643,0.050992373
14363.896,0.062343303
10801.609,0.046881985
12806.284,0.055582833
12699.613,0.05511985
10921.585,0.047402713
9722.107,0.042196646
10467.428,0.045431547
10941.5205,0.04748924
13332.264,0.057865728
14150.179,0.06141571
12940.414,0.05616499
10681.502,0.046360686
9541.524,0.041412868
12074.802,0.052407995
14518.2295,0.06301315
13102.508,0.056868523
12406.087,0.053845864
11576.91,0.050247006
11187.019,0.04855477
12311.1,0.053433593
10126.877,0.04395346
12266.174,0.053238604
11449.897,0.049695738
8868.304,0.038490903
11480.094,0.049826797
13061.807,0.05669187
10455.193,0.045378443
12026.613,0.052198842
10763.342,0.046715893
8674.379,0.037649214
8283.13,0.035951085
12942.065,0.05617216
11432.04,0.04961823
12015.346,0.05214994
9342.822,0.040550444
11545.155,0.05010918
10507.486,0.04560541
14204.897,0.0616532
9657.889,0.04191792
9848.525,0.042745337
13647.04,0.059231944
10536.23,0.04573017
11698.778,0.05077595
11325.089,0.049154032
11040.961,0.047920838
11375.124,0.049371198
9906.0,0.042994794
11190.707,0.04857078
11985.915,0.052022204
14549.717,0.06314982
13422.889,0.058259066
10618.627,0.04608779
12737.805,0.05528561
10154.006,0.04407121
11734.902,0.05093274
12079.13,0.05242678
11575.636,0.050241474
9656.688,0.041912712
11008.527,0.047780067
11462.984,0.049752537
9255.715,0.040172376
12924.379,0.056095395
10380.818,0.045055635
13176.283,0.05718873
11126.293,0.048291203
9397.651,0.04078842
10046.097,0.04360285
10498.299,0.045565534
11866.701,0.05150478
12048.429,0.052293528
10911.967,0.047360968
9045.006,0.03925784
8710.475,0.03780588
10281.662,0.04462527
8162.4243,0.03542719
9104.45,0.039515845
15258.282,0.066225186
11492.439,0.04988038
9117.416,0.03957212
11133.787,0.04832373
14258.134,0.06188426
11515.254,0.049979404
14412.995,0.0625564
11602.16,0.0503566
13373.09,0.058042925
10670.576,0.046313267
11403.573,0.049494676
10683.028,0.04636731
13190.775,0.057251632
8962.396,0.03889929
10457.343,0.045387775
9475.138,0.04112473
10013.419,0.04346102
12661.065,0.054952543
12448.975,0.05403201
10750.592,0.046660557
11981.733,0.052004054
11768.262,0.051077526
10521.588,0.045666616
12708.389,0.055157937
12458.837,0.054074813
10719.236,0.046524465
11312.872,0.04910101
10523.497,0.0456749
11915.207,0.05171531
13435.406,0.058313396
13840.571,0.060071927
11283.855,0.04897507
11223.979,0.048715185
13081.009,0.056775212
10609.331,0.046047445
13526.871,0.058710378
13145.87,0.05705673
10134.842,0.04398803
13166.446,0.057146035
8394.949,0.036436412
9836.129,0.042691533
14274.166,0.061953846
8706.846,0.03779013
9943.1045,0.043155838
9400.966,0.040802803
11367.46,0.049337935
9471.591,0.041109335
11372.992,0.049361948
11373.336,0.049363438
10466.653,0.045428183
13805.141,0.059918147
10455.941,0.04538169
10969.002,0.047608517
12589.895,0.054643642
11427.773,0.04959971
8399.875,0.036457792
11018.234,0.0478222
8398.285,0.036450893
8927.001,0.038745664
11265.815,0.04889677
10350.533,0.044924192
9637.699,0.041830294
8462.494,0.036729578
10987.322,0.047688033
9185.512,0.039867673
8882.217,0.03855129
13983.672,0.060693022
9196.843,0.039916854
10556.67,0.04581888
